Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,1,0,0
2020-02-28,1,2,0,0
2020-02-29,0,2,0,0
2020-03-01,1,3,0,0
2020-03-02,1,4,0,0
2020-03-03,4,8,0,0
2020-03-04,4,12,0,0
2020-03-05,3,15,0,0
2020-03-06,10,25,0,0
2020-03-07,2,27,0,0
2020-03-08,9,36,0,0
2020-03-09,48,84,0,0
2020-03-10,210,294,0,0
2020-03-11,255,549,0,0
2020-03-12,206,755,0,0
2020-03-13,41,796,1,1
2020-03-14,33,829,0,1
2020-03-15,37,866,0,1
2020-03-16,45,911,1,2
2020-03-17,74,985,2,4
2020-03-18,76,1061,1,5
2020-03-19,83,1144,1,6
2020-03-20,106,1250,4,10
2020-03-21,102,1352,5,15
2020-03-22,48,1400,4,19
2020-03-23,62,1462,3,22
2020-03-24,131,1593,3,25
2020-03-25,138,1731,6,31
2020-03-26,151,1882,6,37
2020-03-27,170,2052,6,43
2020-03-28,215,2267,12,55
2020-03-29,200,2467,12,67
2020-03-30,127,2594,9,76
2020-03-31,309,2903,8,84
2020-04-01,254,3157,11,95
2020-04-02,279,3436,15,110
2020-04-03,380,3816,22,132
2020-04-04,471,4287,18,150
2020-04-05,293,4580,20,170
2020-04-06,157,4737,15,185
2020-04-07,423,5160,12,197
2020-04-08,345,5505,17,214
2020-04-09,294,5799,12,226
2020-04-10,136,5935,15,241
2020-04-11,140,6075,13,254
2020-04-12,139,6214,16,270
2020-04-13,156,6370,11,281
2020-04-14,156,6526,11,292
2020-04-15,258,6784,16,308
2020-04-16,198,6982,12,320
2020-04-17,178,7160,10,330
2020-04-18,168,7328,12,342
2020-04-19,104,7432,9,351
2020-04-20,111,7543,10,361
2020-04-21,213,7756,6,367
2020-04-22,200,7956,7,374
2020-04-23,226,8182,12,386
2020-04-24,231,8413,14,400
2020-04-25,164,8577,10,410
2020-04-26,134,8711,6,416
2020-04-27,119,8830,5,421
2020-04-28,217,9047,5,426
2020-04-29,136,9183,9,435
2020-04-30,139,9322,10,445
2020-05-01,146,9468,9,454
2020-05-02,148,9616,9,463
2020-05-03,115,9731,11,474
2020-05-04,78,9809,8,482
2020-05-05,120,9929,9,491
2020-05-06,122,10051,7,498
2020-05-07,105,10156,3,501
2020-05-08,122,10278,6,507
2020-05-09,69,10347,6,513
2020-05-10,64,10411,4,517
2020-05-11,57,10468,3,520
2020-05-12,78,10546,5,525
2020-05-13,56,10602,4,529
2020-05-14,65,10667,7,536
2020-05-15,61,10728,5,541
2020-05-16,89,10817,0,541
2020-05-17,34,10851,6,547
2020-05-18,50,10901,3,550
2020-05-19,80,10981,3,553
2020-05-20,60,11041,3,556
2020-05-21,69,11110,2,558
2020-05-22,31,11141,5,563
2020-05-23,71,11212,0,563
2020-05-24,35,11247,1,564
