Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,2,2,0,0
2020-01-30,0,2,0,0
2020-01-31,1,3,0,0
2020-02-01,0,3,0,0
2020-02-02,0,3,0,0
2020-02-03,0,3,0,0
2020-02-04,0,3,0,0
2020-02-05,0,3,0,0
2020-02-06,0,3,0,0
2020-02-07,0,3,0,0
2020-02-08,0,3,0,0
2020-02-09,0,3,0,0
2020-02-10,0,3,0,0
2020-02-11,0,3,0,0
2020-02-12,0,3,0,0
2020-02-13,0,3,0,0
2020-02-14,0,3,0,0
2020-02-15,0,3,0,0
2020-02-16,0,3,0,0
2020-02-17,0,3,0,0
2020-02-18,0,3,0,0
2020-02-19,0,3,0,0
2020-02-20,0,3,0,0
2020-02-21,0,3,0,0
2020-02-22,14,17,0,0
2020-02-23,62,79,2,2
2020-02-24,53,132,1,3
2020-02-25,97,229,4,7
2020-02-26,93,322,3,10
2020-02-27,78,400,2,12
2020-02-28,250,650,5,17
2020-02-29,238,888,4,21
2020-03-01,240,1128,8,29
2020-03-02,566,1694,5,34
2020-03-03,342,2036,18,52
2020-03-04,466,2502,27,79
2020-03-05,587,3089,28,107
2020-03-06,769,3858,41,148
2020-03-07,778,4636,49,197
2020-03-08,1247,5883,36,233
2020-03-09,1492,7375,133,366
2020-03-10,1797,9172,97,463
2020-03-11,977,10149,168,631
2020-03-12,2313,12462,196,827
2020-03-13,2651,15113,189,1016
2020-03-14,2547,17660,250,1266
2020-03-15,3497,21157,175,1441
2020-03-16,3590,24747,368,1809
2020-03-17,3233,27980,349,2158
2020-03-18,3526,31506,345,2503
2020-03-19,4207,35713,475,2978
2020-03-20,5322,41035,427,3405
2020-03-21,5986,47021,627,4032
2020-03-22,6557,53578,793,4825
2020-03-23,5560,59138,651,5476
2020-03-24,4789,63927,601,6077
2020-03-25,5249,69176,743,6820
2020-03-26,5210,74386,683,7503
2020-03-27,6153,80539,662,8165
2020-03-28,5959,86498,969,9134
2020-03-29,5974,92472,889,10023
2020-03-30,5217,97689,756,10779
2020-03-31,4050,101739,812,11591
2020-04-01,4053,105792,837,12428
2020-04-02,4782,110574,727,13155
2020-04-03,4668,115242,760,13915
2020-04-04,4585,119827,766,14681
2020-04-05,4805,124632,681,15362
2020-04-06,4316,128948,525,15887
2020-04-07,3599,132547,636,16523
2020-04-08,3039,135586,604,17127
2020-04-09,3836,139422,542,17669
2020-04-10,4204,143626,610,18279
2020-04-11,3951,147577,570,18849
2020-04-12,4694,152271,619,19468
2020-04-13,4092,156363,431,19899
2020-04-14,3153,159516,566,20465
2020-04-15,2972,162488,602,21067
2020-04-16,2667,165155,578,21645
2020-04-17,3786,168941,525,22170
2020-04-18,3493,172434,575,22745
2020-04-19,3491,175925,482,23227
2020-04-20,3047,178972,433,23660
2020-04-21,2256,181228,454,24114
2020-04-22,2729,183957,534,24648
2020-04-23,3370,187327,437,25085
2020-04-24,2646,189973,464,25549
2020-04-25,3021,192994,420,25969
2020-04-26,2357,195351,415,26384
2020-04-27,2324,197675,260,26644
2020-04-28,1739,199414,333,26977
2020-04-29,2091,201505,382,27359
2020-04-30,2086,203591,323,27682
2020-05-01,1872,205463,285,27967
2020-05-02,1965,207428,269,28236
2020-05-03,1900,209328,474,28710
2020-05-04,1389,210717,174,28884
2020-05-05,1221,211938,195,29079
2020-05-06,1075,213013,236,29315
2020-05-07,1444,214457,369,29684
2020-05-08,1401,215858,274,29958
2020-05-09,1327,217185,243,30201
2020-05-10,1083,218268,194,30395
2020-05-11,802,219070,165,30560
2020-05-12,744,219814,179,30739
2020-05-13,1402,221216,172,30911
2020-05-14,888,222104,195,31106
2020-05-15,992,223096,262,31368
2020-05-16,789,223885,242,31610
2020-05-17,875,224760,153,31763
2020-05-18,675,225435,145,31908
2020-05-19,451,225886,99,32007
2020-05-20,813,226699,162,32169
2020-05-21,665,227364,161,32330
2020-05-22,642,228006,156,32486
2020-05-23,652,228658,130,32616
2020-05-24,669,229327,119,32735
2020-05-25,531,229858,50,32785
2020-05-26,300,230158,92,32877
2020-05-27,397,230555,78,32955
2020-05-28,584,231139,117,33072
2020-05-29,593,231732,70,33142
2020-05-30,516,232248,87,33229
2020-05-31,416,232664,111,33340
2020-06-01,355,233019,75,33415
2020-06-02,178,233197,60,33475
2020-06-03,318,233515,55,33530
2020-06-04,321,233836,71,33601
2020-06-05,177,234013,88,33689
2020-06-06,518,234531,85,33774
2020-06-07,270,234801,72,33846
2020-06-08,197,234998,53,33899
2020-06-09,280,235278,65,33964
2020-06-10,283,235561,79,34043
2020-06-11,202,235763,71,34114
2020-06-12,379,236142,53,34167
2020-06-13,163,236305,56,34223
2020-06-14,346,236651,78,34301
2020-06-15,338,236989,44,34345
2020-06-16,301,237290,26,34371
2020-06-17,210,237500,34,34405
2020-06-18,328,237828,43,34448
2020-06-19,331,238159,66,34514
2020-06-20,251,238410,47,34561
2020-06-21,264,238674,49,34610
2020-06-22,224,238898,24,34634
2020-06-23,221,239119,23,34657
2020-06-24,113,239232,18,34675
2020-06-25,178,239410,-31,34644
2020-06-26,296,239706,34,34678
2020-06-27,255,239961,30,34708
2020-06-28,175,240136,8,34716
2020-06-29,174,240310,22,34738
2020-06-30,126,240436,6,34744
2020-07-01,142,240578,23,34767
2020-07-02,182,240760,21,34788
2020-07-03,201,240961,30,34818
2020-07-04,223,241184,15,34833
2020-07-05,235,241419,21,34854
2020-07-06,192,241611,7,34861
2020-07-07,208,241819,8,34869
2020-07-08,137,241956,30,34899
2020-07-09,193,242149,15,34914
2020-07-10,214,242363,12,34926
2020-07-11,276,242639,12,34938
